text	sentiment
Novo centro cultural inaugurado para enriquecer a vida comunitaria	1
Parque ecolóxico rehabilitado para preservar a biodiversidade	1
Empresaria local gaña premio nacional pola súa innovación en negocios	1
Teatro local produce obra aclamada por críticos internacionais	1
Atleta local califica para os Xogos Olímpicos de verán	1
Investimento récord en infraestruturas públicas para mellorar a mobilidade	1
Mellora significativa nos resultados educativos das escolas públicas	1
Parque tecnolóxico local atende ás necesidades de startups innovadoras	1
Novo programa de voluntariado rexistra aumento récord de participación	1
Mellora na calidade do aire debido ás novas políticas ambientais	1
Comerciante local recibe recoñecemento por servizo ao cliente excepcional	1
Mellora na accesibilidade para persoas con discapacidade na cidade	1
Nova biblioteca pública atrae a miles de lectores na súa inauguración	1
Iniciativa de reciclaxe local reduce os residuos plásticos en un 50%	1
Escola de música local produce talentos recoñecidos internacionalmente	1
Centro de saúda local introduce novos programas de benestar para empregados	1
Estudio local revela avances prometedores no tratamento de enfermidades raras	1
Iniciativa de apoio a pequenas empresas impulsa o emprendemento na comunidade	1
Novo parque acuático abre as súas portas para o disfrute das familias	1
Novo centro deportivo ofrece instalacións de última xeración para a comunidade	1
Mellora na seguridade viaria reduce accidentes nun 30% na rexión	1
Festival cultural local promove a diversidade cultural e artística	1
Novo programa educativo promove a igualdade de oportunidades	1
Empresario local doa millóns para a investigación contra o cancro	1
Iniciativa de alimentación saudable nas escolas promove hábitos positivos	1
Parque natural local protexe hábitats únicos e especies en perigo	1
Comunidade local apoia o comercio de produtos orgánicos e sustentables	1
Aumento na participación cidadá en decisións locais marca un novo récord	1
Programa de intercambio estudantil local fomenta a comprensión global	1
Novo sistema de transporte público facilita a mobilidade urbana	1
Festival de cine local destaca por promover o talento cinematográfico rexional	1
Iniciativa de arte urbana transforma espazos públicos na cidade	1
Restaurante local recoñecido por promover a gastronomía tradicional	1
Campeonato deportivo local reúne atletas de todo o país	1
Estudo científico local contribúe ao entendemento do cambio climático	1
Mellora nas instalacións deportivas para fomentar o deporte entre a mocidade	1
Iniciativa de conservación mariña protexe os océanos e as súas especies	1
Novo centro de atención para persoas maiores ofrece servizos integrais	1
Mellora na infraestrutura cultural enriquece a vida comunitaria	1
Bo día.	1
Boa tarde.	1
Boa noite.	1
Ola, ¿como estás?	0
¿Que tal?	0
¿Como che vai?	0
Moitas grazas.	1
De nada.	0
Encantado de coñecerte.	1
¿Cal é o teu nome?	0
O meu nome é Carlos	0
¿De onde es?	0
Son de Galicia.	0
¿Cantos anos tes?	0
Teño vinte anos.	0
¿Que fas?	0
Son estudante.	0
Traballo nunha empresa.	0
¿Tes irmáns?	0
Teño dous irmáns.	0
Gústame moito ler.	1
Gústame a música.	1
Non me gusta a televisión.	2
¿Cal é o teu deporte favorito?	0
Encántame o fútbol.	1
Non practico deportes.	0
¿Que fas no teu tempo libre?	0
Adoro viaxar.	1
Gústame cociñar.	1
¿Onde vives?	0
Vivo en Santiago de Compostela.	0
¿Que hora é?	0
Son as tres da tarde.	0
¿Podes axudarme?	0
Claro que si.	1
Non podo agora, desculpa.	2
¿Onde está o baño?	0
Está á esquerda.	0
¿Tes mascotas?	0
Teño un can.	0
Non teño mascotas.	0
¿Que che parece?	0
Está moi ben.	1
Non me gusta.	2
¿Podes repetilo?	0
Non entendo.	2
¿Falades galego?	0
Falo un pouco.	0
Non falo galego.	0
¿Podes falar máis amodo?	0
¡Por suposto!	1
¿Que queres beber?	0
Quero un café, por favor.	0
Gústame o té.	1
Non bebo alcol.	0
¿Onde está a parada do bus?	0
Está alí diante.	0
¿Canto custa?	0
¿Aceptades tarxeta?	0
So aceptamos efectivo.	0
¿Podo probar isto?	0
Por suposto.	1
Non se pode.	2
¿Cando abrides?	0
Abrimos ás nove.	0
Pechamos ás oito.	0
¿Onde podo mercar isto?	0
Na tenda da esquina.	0
Está lonxe.	2
¿Como che atopas?	0
Estou canso.	2
Síntome mal.	2
¿Precisas axuda?	0
Estou ben, grazas.	1
Non sei.	2
Penso que si.	1
Pode ser.	0
Non estou seguro.	0
¿Que opinas?	0
É moi interesante.	1
Non estou de acordo.	2
¡Que bonito!	1
É precioso.	1
¿Onde imos?	0
Vamos á praia.	0
Quero quedar na casa.	0
¿Que hora é agora?	0
Son as sete da mañá.	0
¿Tes fame?	0
Teño moita fame.	2
Non teño fame.	1
¿Tes sede?	0
Non teño sede.	1
¿Como foi o teu día?	0
Foi un bo día.	1
Foi moi duro.	2
Que bo tempo está hoxe! ☀️	1
Adoro pasar tempo coa miña familia. ❤️	1
Estou moi agradecido pola túa axuda. 🙏	1
Que ben que teño vacacións esta semana.	1
Hoxe é un día perfecto para saír de paseo.	1
O meu equipo gañou o partido, estou feliz!	1
É un pracer traballar contigo. 😊	1
Gústame moito a túa nova camiseta!	1
A comida estaba deliciosa, parabéns ao chef.	1
Estou emocionado polas novas oportunidades que se presentan.	1
A vida é unha aventura, hai que vivela ao máximo!	1
Aprendín algo novo hoxe, estou contente.	1
Non hai nada mellor que escoitar música relaxante ao final do día.	1
O sol sempre sae despois da choiva. 🌈	1
É marabilloso ver como os nenos xogan xuntos sen importarlles nada máis.	1
Ás veces, os pequenos xestos fan un gran impacto. 💕	1
Sinto que estou a progresar no meu traballo, é gratificante.	1
A natureza é tan impresionante, fai que me sinta vivo/a.	1
Estou moi ilusionado/a co proxecto no que estou a traballar.	1
Que ben que estás a facer progresos no teu estudo de galego!	1
Non puiden durmir nada esta noite. 😞	2
O día non está a acompañar moito hoxe.	2
Sinto moito a túa perda, estamos aquí para ti.	2
Non estou seguro de poder facelo.	2
A comida do restaurante non estaba moi boa.	2
Non puiden chegar a tempo á reunión.	2
Sinto que todo está a ir mal ultimamente.	2
Non podo axudarte, desculpa.	2
Sentínme decepcionado co resultado.	2
A veces, os días son máis difíciles que outros.	2
Non me gustou o final da película.	2
Non sei se isto é o correcto a facer.	2
A vida ás veces pode ser moi complicada.	2
Non estou moi convencido desta idea.	2
Sinto que non estou a ser comprendido.	2
Non podo estar en dous sitios ao mesmo tempo.	2
Necesito un descanso, estou esgotado.	2
Non me sinto con ánimos para saír hoxe.	2
A veces, é difícil manterse positivo.	2
Que tal o tempo hoxe? #TempoGalicia	0
Estou a facer os deberes. 📚	0
A vida é unha montaña rusa de emocións.	0
O café da mañá sempre me alegra o día. ☕	1
Aínda non teño claro que facer esta fin de semana.	0
Ás veces, é bo estar só e reflexionar.	1
Aprendín moito este semestre na universidade.	1
Os libros son a miña fonte de inspiración. #AmoOsLibros	1
Os martes son o mellor día para ir á biblioteca.	1
A rutina diaria pode ser confortable ás veces.	1
O humor é unha parte importante da nosa vida cotiá. 😄	1
É bo estar preparado para calquera situación.	1
A mellor parte do día é o momento de relaxar.	1
Sempre estou a descubrir cousas novas. #CuriosidadeInfinita	1
A vida é unha aventura que merece ser vivida.	1
Non hai nada como o cheiro da terra despois da choiva. 🌧️	1
A tecnoloxía facilita moitas tarefas do día a día.	1
O deporte é unha boa forma de manterse en forma. #VidaSaudable	1
Un bo descanso é fundamental para a saúde.	1
A arte é unha expresión poderosa das emocións humanas.	1
O amor incondicional dos animais é inspirador. 🐾	1
Un sorriso sincero pode alegrar o día a calquera persoa. 😊	1
A música é unha linguaxe universal. 🎵	0
O traballo en equipo é clave para o éxito.	1
Unha boa educación é a base de todo. #EducaciónPrimordial	1
A natureza sempre sorprende con paisaxes marabillosas. #NaturezaGalega	1
Os recordos son tesoros que atesouramos na alma.	1
A paciencia é unha virtude que se debe cultivar.	1
Unha boa alimentación é esencial para manterse saudable. #VidaSana	1
A comunicación é fundamental para entendernos uns aos outros.	1
A mellora continua é a clave para a evolución persoal.	1
O equilibrio entre o traballo e a vida persoal é crucial.	1
O apoio dos amigos é unha balsa de salvamento nos momentos difíciles. #AmizadeVerdadeira	1
A viaxe é unha forma de ampliar horizontes e abrir a mente.	1
O coñecemento é poder, pero tamén unha responsabilidade.	0
A xenerosidade é unha das maiores cualidades humanas.	1
A adaptabilidade é esencial nun mundo en constante cambio.	0
A empatía permite conectar coas persoas de forma máis profunda.	1
A diversidade enriquece as nosas vidas e nos fai máis tolerantes.	1
A creatividade é a chispa que fai brillar as ideas.	1
A perseveranza pode superar calquera obstáculo.	1
A humildade é unha virtude que admira a todos.	1
A simplicidade ás veces é a solución máis efectiva.	1
A fortaleza interior axuda a superar as adversidades.	1
A curiosidade é o motor do descubrimento.	1
A responsabilidade persoal é a clave do autodesenvolvemento.	1
A honestidade é a base das relacións saudables.	1
O compromiso coa causa axuda a cambiar o mundo.	1
A serenidade interior é unha meta desexable.	1
A tolerancia fai posibles a convivencia e a paz.	1
A ciencia e a tecnoloxía están a transformar o noso mundo. #Innovación	0
A xustiza é o pilar da sociedade civilizada.	1
A liberdade é un dereito fundamental de todo ser humano.	0
A solidariedade é esencial en tempos de crise. #Solidariedade	1
A esperanza mantén viva a nosa esencia humana.	1
A igualdade de oportunidades é o ideal a perseguir.	1
A eficiencia axuda a optimizar os recursos dispoñibles.	1
A seguridade é unha necesidade básica de todos os seres humanos.	0
A transparencia é esencial para a confianza mutua.	0
A colaboración é a chave para enfrontar os grandes retos	1
A nosa empresa aposta pola innovación como motor de crecemento.	1
Valoramos a nosa forza laboral como o noso activo máis valioso.	1
Estamos comprometidos coa excelencia en cada aspecto do noso traballo.	1
A nosa visión a longo prazo guía as nosas decisións estratéxicas.	0
A satisfacción do cliente é o noso principal obxectivo.	1
Estamos a expandir as nosas operacións para alcanzar novos mercados.	1
A colaboración interdepartamental fortalece a nosa empresa.	1
Celebramos os logros do noso equipo con orgullo.	1
O noso compromiso coa calidade é non negociable.	0
A nosa estrutura organizativa fomenta a eficiencia e a transparencia.	1
Enfrontamos desafíos pero vemos cada obstáculo como unha oportunidade de crecemento.	1
A nosa política de sustentabilidade reflicte o noso compromiso co medio ambiente.	1
Estamos a redefinir os nosos procesos para mellorar a nosa competitividade.	1
A nosa marca é recoñecida pola súa fiabilidade e compromiso.	1
Estamos a investir en formación para o desenvolvemento continuo dos nosos empregados.	1
A nosa estratexia de marketing está a xerar resultados positivos.	1
A nosa presenza internacional está a fortalecerse progresivamente.	1
Mantemos unha relación sólida e ética cos nosos provedores.	1
A nosa política de RSC forma parte integrante da nosa identidade corporativa.	0
A nosa empresa está comprometida coa igualdade de oportunidades.	1
A nosa ética empresarial é inquebrantable en todo momento.	1
Estamos a analizar datos para tomar decisións informadas e estratéxicas.	0
A nosa capacidade de adaptación é fundamental para manter a nosa competitividade.	1
Valoramos a diversidade como unha fonte de enriquecemento.	1
A nosa misión é proporcionar solucións innovadoras aos nosos clientes.	1
Estamos a optimizar os nosos recursos para maximizar a eficiencia operativa.	1
A nosa política de xestión de talento atrai e retén os mellores profesionais.	1
Estamos a explorar novas oportunidades de negocio dentro e fóra do país.	1
A nosa reputación corporativa é o resultado do noso compromiso coa excelencia.	1
Estamos a implementar medidas para reducir a nosa pegada ambiental.	1
A nosa cultura corporativa promove a colaboración e a inovación.	1
Estamos a fortalecer as nosas alianzas estratéxicas para a creación de valor.	1
A nosa ética de traballo é unha das nosas maiores forzas competitivas.	1
Estamos a expandir as nosas capacidades tecnolóxicas para satisfacer as demandas do mercado.	1
A nosa adaptabilidade é clave para responder ás mudanzas no mercado.	1
Estamos a investir en investigación e desenvolvemento para estar á vangarda da nosa industria.	1
A nosa política de prezos está deseñada para garantir a competitividade sen comprometer a calidade.	1
Estamos a desenvolver novas estratexias para afrontar os desafíos económicos actuais.	1
A nosa empresa está a enfrontar dificultades financeiras significativas.	2
A taxa de rotación de persoal é moi alta e afecta a continuidade operativa.	2
As nosas vendas están a descender de maneira preocupante neste trimestre.	2
Enfrentamos desafíos regulatórios que complican a nosa operativa diaria.	2
Os nosos custos de produción disparáronse sen previsión.	2
A nosa marca está a perder relevancia no mercado debido a fallos de marketing.	2
A competencia está a ganar terreo a un ritmo alarmante.	2
Tivemos que realizar despidos masivos para reducir gastos.	2
A nosa estratexia de expansión internacional fracasou estrepitosamente.	2
O noso sistema de xestión de inventarios está desactualizado e ineficaz.	2
Enfrentamos denuncias de clientes insatisfeitos que afectan á nosa reputación.	2
Os nosos proveedores non están a cumprir cos acordos de subministro.	2
Tivemos que cancelar proxectos importantes por falta de financiamento.	2
As nosas operacións están a ser afectadas por problemas técnicos reiterados.	2
A nosa cadea de subministro está moi vulnerable a interrupcións.	2
O noso equipo directivo está a experimentar unha falta de liderado claro.	2
As nosas iniciativas de RSC non están a ser percibidas positivamente pola comunidade.	2
Estamos a perder clientes habituais debido a un servizo ao cliente deficiente.	2
A nosa política de prezos non está atraendo compradores potenciais.	2
A nosa marca está asociada a problemas de calidade que non podemos resolver.	2
As nosas negociacións coa banca para obter crédito non están a ser frutíferas.	2
A nosa estratexia de marketing dixital non está a xerar os resultados esperados.	2
A nosa infraestrutura tecnolóxica está obsoleta e impide o noso crecemento.	2
Estamos a afrontar unha crise de confianza interna entre empregados e xestores.	2
As nosas políticas de seguridade non protexen adecuadamente os nosos datos sensibles.	2
A nosa política de reclutamento non está atraendo talento cualificado.	2
Os nosos esforzos para diversificar os nosos produtos non están a ter éxito.	2
Enfrentamos unha demanda legal que pode ter repercusións financeiras graves.	2
A nosa estratexia de distribución non está a alcanzar os nosos mercados obxectivo.	2
Estamos a perder posición de mercado ante competidores máis áxiles.	2
A nosa estrutura organizativa está a ser criticada por ser ríxida e pouco adaptable.	2
Enfrentamos problemas de stock que están a frustrar aos nosos clientes.	2
A nosa política de devolución non está a manter a nosa boa imaxe de marca.	2
Estamos a afrontar dificultades para obter financiamento para os nosos proxectos de expansión.	2
As nosas relacións laborais están tensas debido a conflitos internos.	2
Os nosos esforzos para integrar a tecnoloxía nos nosos procesos están a ser frustrados por resistencias internas.	2
A nosa estratexia de entrada en novos mercados non está a ser ben recibida polos consumidores locais.	2
Enfrentamos restricións de recursos humanos que limitan o noso crecemento.	2
A nosa estratexia de comunicación interna está a ser criticada por falta de transparencia.	2
Estamos a experimentar unha fuga de talento debido a unha cultura corporativa tóxica.	2
As nosas prácticas de produción están a ser cuestionadas polos grupos ambientalistas.	2
A nosa política de prezos baixos está a erodir a nosa marxe de beneficio.	2
Estamos a perder oportunidades de negocio por non reaccionar con rapidez ante cambios no mercado.	2
A nosa estratexia de branding non está a resoar co noso público obxectivo.	2
Estamos a afrontar dificultades para atopar investidores dispostos a financiar os nosos proxectos.	2
A nosa dependencia de mercados externos está a expor a nosa empresa a riscos de cambio.	2
Enfrentamos problemas de conformidade regulamentaria que poderían resultar en sancións.	2
A nosa estratexia de fidelización de clientes está a fallar debido a unha competencia máis agresiva.	2
Estamos a experimentar retrasos persistentes na entrega de produtos aos nosos clientes.	2
A nosa estratexia de captación de talento está a ser neutralizada polos nosos competidores.	2
Estamos a enfrontar unha presión constante sobre os nosos márgenes de beneficio.	2
A nosa reputación de marca está a ser afectada por rumores negativos nas redes sociais.	2
Estamos a recibir críticas por non cumprir cos estándares éticos e de sustentabilidade.	2
A nosa estratexia de internacionalización está a ser frustrada por barreiras comerciais imprevistas.	2
Estamos a ter problemas de liquidez que afectan á nosa capacidade para pagar aos nosos provedores.	2
A nosa política de xestión de crisis non está a ser eficaz para mitigar problemas imprevistos.	2
Estamos a perder o apoio dos nosos accionistas debido a resultados financeiros decepcionantes.	2
A nosa estratexia de expansión está a ser retrasada por falta de recursos financeiros.	2
Enfrentamos unha falta de liderado claro que está a afectar a moral do equipo.	2
A nosa estratexia de integración vertical está a ser dificultada por problemas de integración.	2
Estamos a enfrontar problemas de conformidade cos estándares internacionais de calidade.	2
A nosa estratexia de redución de custos está a impactar negativamente na moral dos empregados.	2
Estamos a ser obxecto de escrutinio da prensa debido a problemas de xestión interna.	2
A nosa infraestrutura física está a limitar a nosa capacidade para expandirnos.	2
Enfrentamos unha escaseza de recursos financeiros que limita a nosa capacidade de crecemento.	2
A nosa estratexia de marketing está a ser considerada como obsoleta polos nosos competidores.	2
Estamos a ser criticados por non cumprir cos estándares de seguridade industrial.	2
A nosa política de RSC está a ser percebida como unha fachada sen compromiso real.	2
Estamos a recibir devolucións de produtos debido a problemas de calidade.	2
A nosa estratexia de mitigación de riscos non está a protexer a empresa como se esperaba.	2
Estamos a experimentar unha falta de cohesión no noso equipo de xestión.	2
A nosa falta de investimento en I+D está a limitar a nosa capacidade de innovar.	2
Estamos a enfrontar unha sobrecarga regulatória que impide a nosa flexibilidade operativa.	2
A nosa política de prezos altos está a alienar aos nosos clientes habituais.	2
Estamos a perder mercado ante competidores que ofrecen produtos similares a prezos máis baixos.	2
A nosa estratexia de diversificación de produtos está a ser frustrada por problemas de fabricación.	2
Estamos a recibir críticas por non cumprir cos estándares de responsabilidade ambiental.	2
A nosa política de expansión está a ser complicada por problemas de financiamento externo.	2
Estamos a ter dificultades para obter financiamento debido á nosa situación financeira actual.	2
A nosa estratexia de desenvolvemento de mercado está a ser inhibida por barreiras comerciais.	2
Estamos a perder talento clave debido a unha cultura de traballo non colaborativa.	2
A nosa estratexia de pricing non está atraendo aos nosos clientes obxectivo.	2
Estamos a enfrentar unha redución nas nosas ventas debido a unha crise	2
A nosa empresa está a revisar as súas políticas internas.	0
Estamos a considerar novas oportunidades de negocio.	1
O noso equipo está a analizar os datos recollidos.	0
Estamos a implementar novas tecnoloxías nos nosos procesos.	1
A nosa sede principal está localizada na cidade de Santiago.	0
Estamos a preparar informes para a nosa xunta directiva.	0
O noso equipo está a estudar as tendencias do mercado.	0
Estamos a manter reunións regulares co noso equipo de xestión.	0
A nosa política de sustentabilidade está en liña cos estándares internacionais.	1
A nosa empresa utiliza métodos avanzados de producción.	1
Estamos a revisar os nosos procedementos internos para mellorar a eficiencia.	1
Estamos a colaborar con socios estratéxicos en proxectos especiais.	1
A nosa estrutura organizativa está deseñada para fomentar a colaboración entre departamentos.	1
Estamos a investigar novas oportunidades de mercados internacionais.	1
A nosa empresa está comprometida coa transparencia en todas as súas operacións.	1
Estamos a optimizar os nosos recursos para maximizar a nosa eficiencia operativa.	1
A nosa sede principal está equipada cunha infraestrutura moderna.	1
Estamos a avaliar propostas para a mellora da nosa cadea de subministro.	1
A nosa estratexia de marketing está baseada en análises de datos exhaustivas.	0
Estamos a implementar políticas de teletraballo para adaptarnos ás novas circunstancias.	1
A nosa empresa está a promover un ambiente de traballo inclusivo e diverso.	1
Estamos a adoptar medidas para reducir o noso impacto ambiental.	1
A nosa política de seguridade no traballo é prioritaria para a nosa empresa.	1
Estamos a explorar novas oportunidades de financiamento para os nosos proxectos.	1
A nosa empresa está a colaborar con universidades para proxectos de investigación.	0
Estamos a implementar medidas de control de calidade en todas as etapas do proceso.	0
A nosa estratexia de crecemento está enfocada en mercados emergentes.	0
Estamos a actualizar o noso software de xestión empresarial para unha maior eficiencia.	1
A nosa empresa está a promover a innovación como un valor central.	1
Estamos a monitorizar de cerca os cambios na nosa industria.	0
A nosa política de prezos está deseñada para reflectir o valor dos nosos produtos.	0
Estamos a fortalecer as nosas alianzas estratéxicas para expandir a nosa rede.	1
A nosa empresa está a expandir a súa presenza en plataformas de comercio electrónico.	1
Estamos a actualizar as nosas políticas de recursos humanos para reflectir as mellores prácticas.	1
A nosa empresa está a fomentar unha cultura de responsabilidade corporativa.	1
Estamos a explorar oportunidades de crecemento dentro do noso mercado nacional.	1
A nosa empresa está a implementar medidas para aumentar a satisfacción do cliente.	1
Estamos a revisar as nosas estratexias de marketing para captar novos segmentos de mercado.	1
A nosa empresa está a adoptar tecnoloxías de vangarda para mellorar a nosa competitividade.	1
Estamos a estudar as tendencias de consumo para adaptar os nosos produtos e servizos.	1
A nosa empresa está a reforzar a súa presenza en redes sociais para mellorar a comunicación coa nosa audiencia.	1
Estamos a desenvolver novos produtos para diversificar a nosa oferta.	1
A nosa empresa está a explorar oportunidades de colaboración con startups innovadoras.	1
Estamos a promover unha cultura de traballo flexible para adaptarnos ás necesidades dos nosos empregados.	1
A nosa empresa está a promover a formación continua para o desenvolvemento profesional dos nosos empregados.	1
Estamos a realizar auditorías internas para garantir a conformidade cos estándares de calidade.	1
A nosa empresa está a lanzar unha iniciativa para mellorar a eficiencia enerxética nas nosas instalacións.	1
Estamos a implementar programas de feedback dos empregados para mellorar a comunicación interna.	1
A nosa empresa está a estudar as opcións para mellorar a nosa política de xestión de riscos.	1
Estamos a colaborar con consultores externos para obter asesoramento estratéxico.	0
A nosa empresa está a promover unha política de igualdade de oportunidades e diversidade.	1
Estamos a implementar medidas para mellorar a nosa rexeneración de residuos.	1
A nosa empresa está a revisar as súas operacións para identificar áreas de optimización.	1
Estamos a investigar novas formas de utilizar a tecnoloxía blockchain para optimizar os nosos procesos.	1
A nosa empresa está a estudar as implicacións das regulacións recentes no noso sector.	0
Estamos a lanzar un programa de mentoring para os nosos novos empregados.	0
A nosa empresa está a estudar as opcións de financiamento para un proxecto de expansión.	0
Estamos a actualizar a nosa páxina web para mellorar a experiencia do usuario.	1
A nosa empresa está a considerar as opcións para implementar un sistema de xestión de recursos humanos.	0
Estamos a implementar medidas para protexer a nosa propiedade intelectual.	0
A nosa empresa está a revisar as súas políticas de viaxes para reducir os custos.	1
O enchufe é de cor escura.	0
Collín un cazo do estante.	0
O teléfono estaba a sonar.	0
Gardei o libro na gabeta.	0
O galego é unha lingua flexiva.	0
